Added,URL,ListedPrice,Year,Make,Model,Trim,Body,Mileage,ManualTF,Drivetrain,Fuel,HP,Displacement,Engine,Combined MPG,State,Title Issues,AccidentsTF,Owners,Rental Use?,Fleet Use?,Age,Country
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=314885268/NONE," $8,995 ",2003,Audi,TT,1.8T,Convertible,"58,223",FALSE,FWD,Gas,180,1.8,I4,22,TX,No,FALSE,4,No,No,18,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=313420595/NONE," $19,995 ",2011,Audi,A5,2.0T Premium Plus,Convertible,"50,340",FALSE,FWD,Gas,211,2,I4,26,TX,No,FALSE,2,No,No,10,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=310813461/NONE," $5,900 ",1996,BMW,Z3,1.9,Convertible,"181,650",TRUE,RWD,Gas,138,1.9,I4,24,TX,No,FALSE,6,No,No,25,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=314887117/NONE," $9,495 ",2008,BMW,3 Series,328i,Convertible,"113,826",TRUE,RWD,Gas,230,3,I6,21,TX,No,FALSE,4,No,No,13,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=309434928/NONE," $9,495 ",2002,BMW,3 Series,330Ci,Convertible,"107,355",TRUE,RWD,Gas,225,3,I6,21,TX,No,FALSE,5,No,No,19,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=314458022/NONE," $20,000 ",2005,BMW,3 Series,M3,Convertible,"75,020",TRUE,RWD,Gas,333,3.2,I6,17,TX,No,FALSE,2,No,No,16,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=312953491/NONE," $19,999 ",2006,BMW,3 Series,M3,Convertible,"151,543",TRUE,RWD,Gas,333,3.2,I6,17,TX,No,TRUE,4,No,Yes,15,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=30000&sortDir=ASC&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=20000&sortType=DEAL_SCORE#listing=311331979/NONE," $29,495 ",2005,BMW,3 Series,M3,Convertible,"91,750",TRUE,RWD,Gas,333,3.2,I6,17,TX,No,TRUE,5,No,Yes,16,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=314391676/NONE," $8,699 ",2003,BMW,Z4,2.5i,Convertible,"68,327",FALSE,RWD,Gas,184,2.5,I6,22,TX,No,TRUE,1,No,No,18,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=314413060/NONE," $19,991 ",2013,BMW,3 Series,335i,Convertible,"80,758",FALSE,RWD,Gas,300,3,I6,22,TX,No,FALSE,1,No,No,8,Germany
